Opcode;acc;abs;abs,x;abs,y;imm;impl;ind;x,ind;ind, y;rel;zpg;zpg, x;zpg, y
adc;69;6d;7d;79;;;;61;71;;65;75;
and;;2d;3d;39;29;;;21;31;;25;35;
asl;0a;0e;1e;;;;;;;;06;16;
bcc;;;;;;;;;;90;;;
bcs;;;;;;;;;;b0;;;
beq;;;;;;;;;;f0;;;
bit;;2c;;;;;;;;;24;;
bmi;;;;;;;;;;d0;;;
bpl;;;;;;;;;;10;;;
brk;;;;;;00;;;;;;;
bvc;;;;;;;;;;50;;;
bvs;;;;;;;;;;70;;;
clc;;;;;;18;;;;;;;
cld;;;;;;d8;;;;;;;
cli;;;;;;58;;;;;;;
clv;;;;;;b8;;;;;;;
cmp;;cd;dd;d9;c9;;;c1;d1;;c5;d5;
cpx;;ec;;;e0;;;;;;e4;;
cpy;;cc;;;c0;;;;;;c4;;
dec;;ce;de;;;;;;;;c6;d6;
dex;;;;;;ca;;;;;;;
dey;;;;;;88;;;;;;;
eor;;4d;5d;59;49;;;41;51;;45;55;
inc;;ee;fe;;;;;;;;e6;f6;
inx;;;;;;e8;;;;;;;
iny;;;;;;c8;;;;;;;
jmp;;4c;;;;;6c;;;;;;
jsr;;20;;;;;;;;;;;
lda;;ad;bd;b9;a9;;;a1;b1;;a5;b5;
ldx;;ae;;be;a2;;;;;;a6;;b6
ldy;;ac;bc;;a0;;;;;;a4;b4;
lsr;4a;4e;5e;;;;;;;;46;56;
nop;;;;;;ea;;;;;;;
ora;;0d;1d;19;09;;;01;11;;05;15;
pha;;;;;;48;;;;;;;
php;;;;;;08;;;;;;;
pla;;;;;;68;;;;;;;
plp;;;;;;28;;;;;;;
rol;2a;2e;3e;;;;;;;;26;36;
ror;6a;6e;7e;;;;;;;;66;76;
rti;;;;;;40;;;;;;;
rts;;;;;;60;;;;;;;
sbc;;ed;fd;f9;e9;;;e1;f1;;e5;f5;
sec;;;;;;38;;;;;;;
sed;;;;;;f8;;;;;;;
sei;;;;;;78;;;;;;;
sta;;8d;9d;99;;;;81;91;;85;95;
stx;;8e;;;;;;;;;86;;96
sty;;8c;;;;;;;;;84;94;
tax;;;;;;aa;;;;;;;
tay;;;;;;a8;;;;;;;
tsx;;;;;;ba;;;;;;;
txa;;;;;;8a;;;;;;;
txs;;;;;;9a;;;;;;;
tya;;;;;;98;;;;;;;
